name,id
ABCC10,XM_054356701
ABCC10,XM_054356702
ABCC10,XM_054356703
ABCC10,XM_054356704
ABCC10,XM_054356705
ABCC10,XM_054356706
ABCC10,XM_054356707
ABCC10,XM_054356708
ABCC10,XM_054356709
ABCC10,XM_054356710
ABCC10,XM_054356711
ABCC10,XR_008487503
ABCC10,XR_008487504
ABCC11,NM_001370496
ABCC11,NM_001370497
ABCC11,NM_032583
ABCC11,NM_033151
ABCC11,NM_145186
ABCC11,XM_054314212
ABCC11,XM_054314213
ABCC11,XM_054314214
ABCC11,XM_054314215
ABCC11,XM_054314216
ABCC11,XM_054314217
ABCC11,XM_054314218
ABCC11,XM_054314219
ABCC11,XM_054314220
ABCC11,XM_054314221
ABCC11,XM_054314222
ABCC11,XM_054314223
ABCC11,XR_008484745
ABCC12,NM_001392028
ABCC12,NM_001393797
ABCC12,NM_001393798
ABCC12,NM_001393799
ABCC12,NM_033226
ABCC12,NR_171628
ABCC12,NR_171629
ABCC12,NR_171630
ABCC12,NR_171631
ABCC12,NR_171632
ABCC12,NR_171633
ABCC12,NR_171634
ABCC12,NR_171635
ABCC13,NR_003087
ABCC13,NR_003088
ABCC2,NM_000392
ABCC2,XM_054364791
ABCC2,XM_054364792
ABCC2,XM_054364793
ABCC2,XM_054364794
ABCC2,XM_054364795
ABCC2,XR_008488167
ABCC3,NM_001144070
ABCC3,NM_003786
ABCC4,NM_001105515
ABCC4,NM_001301829
ABCC4,NM_001301830
ABCC4,NM_005845
ABCC4,XM_054373999
ABCC4,XM_054374000
ABCC4,XM_054374001
ABCC5,NM_001023587
ABCC5,NM_001320032
ABCC5,NM_005688
ABCC5,NR_135125
ABCC5,XM_054344826
ABCC5,XM_054344827
ABCC5,XM_054344828
ABCC5,XM_054344829
ABCC5,XM_054344830
ABCC5,XM_054344831
ABCC5,XM_054344832
ABCC5,XM_054344833
ABCC5-AS1,NR_046570
ABCC6,NM_001079528
ABCC6,NM_001171
ABCC6,NM_001351800
ABCC6,NR_147784
ABCC6P1,NR_003569
ABCC6P2,NR_023387
ABCC8,NM_000352
ABCC8,NM_001287174
ABCC8,NM_001351295
ABCC8,NM_001351296
ABCC8,NM_001351297
ABCC8,NR_147094
ABCC9,NM_001377273
ABCC9,NM_001377274
ABCC9,NM_005691
ABCC9,NM_020297
ABCC9,XM_054370717
ABCC9,XM_054370718
ABCC9,XM_054370719
ABCC9,XM_054370720
ABCD1,NM_000033
ABCD1,XM_054326680
ABCD1,XM_054326681
ABCD2,NM_001412788
ABCD2,NM_001412789
ABCD2,NM_001412790
ABCD2,NM_001412791
ABCD2,NM_001412792
ABCD2,NM_001412793
ABCD2,NM_005164
ABCD2,NR_182045
ABCD2,NR_182046
ABCD2,XM_054371409
ABCD2,XM_054371410
ABCD2,XM_054371411
ABCD3,NM_001122674
ABCD3,NM_002858
ABCD3,XM_054337988
ABCD3,XM_054337989
ABCD3,XM_054337990
ABCD3,XM_054337991
ABCD3,XM_054337992
ABCD3,XM_054337993
ABCD4,NM_001353591
ABCD4,NM_001353592
ABCD4,NM_001353593
ABCD4,NM_001353594
ABCD4,NM_001353595
ABCD4,NM_001353596
ABCD4,NM_001353597
ABCD4,NM_001353598
ABCD4,NM_001353599
ABCD4,NM_001353600
ABCD4,NM_001353601
ABCD4,NM_001353602
ABCD4,NM_001353603
ABCD4,NM_001353604
ABCD4,NM_001353605
ABCD4,NM_001353606
ABCD4,NM_001353607
ABCD4,NM_001353608
ABCD4,NM_001353609
ABCD4,NM_001353610
ABCD4,NM_005050
ABCD4,NM_020324
ABCD4,NM_020325
ABCD4,NR_003256
ABCD4,NR_148466
ABCD4,NR_148467
ABCD4,NR_148468
ABCD4,NR_148469
ABCD4,NR_148470
ABCD4,NR_148471
ABCD4,NR_148472
ABCD4,NR_148473
ABCD4,NR_148474
ABCD4,XM_054376509
ABCD4,XM_054376510
ABCD4,XM_054376511
ABCD4,XM_054376512
ABCD4,XM_054376513
ABCD4,XM_054376514
ABCD4,XM_054376515
ABCE1,NM_001040876
ABCE1,NM_002940
ABCF1,NM_001025091
ABCF1,NM_001090
ABCF2,NM_007189
ABCF2-H2BK1,NM_005692
ABCF2-H2BK1,NR_160983
ABCF3,NM_001351298
ABCF3,NM_001351299
ABCF3,NM_001351300
ABCF3,NM_018358
ABCF3,XM_054347175
ABCG1,NM_004915
ABCG1,NM_016818
ABCG1,NM_207174
ABCG1,NM_207627
ABCG1,NM_207628
ABCG1,NM_207629
ABCG1,XM_054324962
ABCG1,XM_054324963
ABCG1,XM_054324964
ABCG1,XM_054324965
ABCG1,XM_054324966
ABCG1,XM_054324967
ABCG2,NM_001257386
ABCG2,NM_001348985
ABCG2,NM_001348986
ABCG2,NM_001348987
ABCG2,NM_001348988
ABCG2,NM_001348989
ABCG2,NM_004827
ABCG2,XM_054351284
ABCG2,XM_054351285
ABCG4,NM_001142505
ABCG4,NM_001348191
ABCG4,NM_001348192
ABCG4,NM_022169
ABCG4,XM_054369630
ABCG5,NM_022436
ABCG5,XM_054343350
ABCG5,XM_054343351
ABCG5,XM_054343352
ABCG5,XM_054343353
ABCG5,XM_054343354
ABCG5,XM_054343355
ABCG5,XM_054343356
ABCG5,XM_054343357
ABCG5,XM_054343358
ABCG8,NM_001357321
ABCG8,NM_022437
ABHD1,NM_032604
ABHD1,XM_054344223
ABHD1,XM_054344224
ABHD1,XM_054344225
ABHD1,XM_054344226
ABHD10,NM_001272069
ABHD10,NM_018394
ABHD10,NR_073570
