"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
134.966013860831,5.50851676464286,0.618417244326901,8.90744366392701,5.22227255226516e-19,6.42383780475668e-17,"Lhx5"
658.903579016125,-1.95764405526712,0.220936869557838,-8.8606490133809,7.95499519393976e-19,9.70308867563325e-17,"Sertad4"
423.400916656851,2.71743329139783,0.308085653299605,8.8203824562879,1.14069433856952e-18,1.37976486036138e-16,"Twist1"
2934.72661132333,2.92201074523275,0.333054875469455,8.77336127001309,1.73410554104707e-18,2.08021007671886e-16,"Kctd12"
2918.71404448714,1.43523507807374,0.163677050387078,8.76870077191378,1.80739661181721e-18,2.15035752627268e-16,"Il6st"
1426.45759863115,-1.68710368625357,0.192819564844082,-8.74964989998707,2.14015668723979e-18,2.52555888742159e-16,"Chst15"
592.940282433044,-2.0616787716222,0.236564074152562,-8.71509665619221,2.9051069916534e-18,3.40061515998783e-16,"Crb3"
1319.94365619215,-1.63136101477387,0.187713874471823,-8.69067893550272,3.60279879315177e-18,4.18356995860784e-16,"Vwa5a"
118.356786717794,5.51560920218127,0.635142093618686,8.68405551702045,3.81902246799527e-18,4.39945326372629e-16,"Ebf2"
140.662697766976,6.00262653672401,0.692884382601772,8.66324409591139,4.58525141200781e-18,5.24054521616483e-16,"Hoxb2"
5850.26821572281,1.84335513716784,0.212937726069521,8.65678041741656,4.85276264789631e-18,5.46029843676085e-16,"Mest"
732.360380776939,1.85429617161125,0.214200478074196,8.65682555091657,4.85084232977578e-18,5.46029843676085e-16,"Fkbpl"
122.78636976339,4.32560654158372,0.499777671095651,8.65506162390326,4.92645416276802e-18,5.50057555173675e-16,"Cldn5"
622.711072718466,-3.12714086747236,0.362559045985035,-8.62519057820291,6.39860102937409e-18,7.08974762911183e-16,"Magel2"
1382.40626622759,1.62363767980602,0.188893452062737,8.59552124266733,8.28876886828455e-18,9.11450606993562e-16,"Nhs"
710.553642632487,2.19839069775441,0.255847212332437,8.59259195248887,8.50290717570095e-18,9.27967651543603e-16,"Meis2"
5916.40974514893,1.3926486956994,0.162432930039967,8.57368450693307,1.00225754964171e-17,1.08565435321264e-15,"F2r"
